Time (UTC),Latitude,Longitude,Hm0 (m),Hmax_up (m),Tm01 (s),Pdirnaut (waves coming from deg),Meandir (waves coming from deg),Bat_voltageAvg
2022-07-19 08:39:36,-58.2273140,-1.3431702,0.867,1.316,6.700,329,327,3.54
2022-07-19 09:01:27,-58.2250748,-1.3366625,0.766,1.106,7.000,328,328,3.50
2022-07-19 09:23:17,-58.2228241,-1.3301312,0.973,1.341,8.700,315,310,3.51
2022-07-19 09:45:08,-58.2206535,-1.3232684,0.873,1.817,8.200,290,292,3.53
2022-07-19 10:06:59,-58.2179642,-1.3150280,0.770,1.125,7.800,320,326,3.51
2022-07-19 10:28:50,-58.2162247,-1.3076818,0.842,1.282,8.100,330,333,3.52
2022-07-19 10:50:40,-58.2144432,-1.3001753,0.879,1.268,8.000,319,324,3.51
2022-07-19 11:12:31,-58.2120590,-1.2909710,0.885,1.257,8.100,321,321,3.50
2022-07-19 11:34:22,-58.2100868,-1.2835897,0.783,1.161,7.900,323,329,3.49
2022-07-19 11:56:13,-58.2073021,-1.2742378,0.764,1.297,8.100,302,298,3.50
2022-07-19 12:18:03,-58.2051468,-1.2671630,0.834,1.546,8.000,331,333,3.49
2022-07-19 12:39:54,-58.2033234,-1.2606500,0.839,1.157,7.600,325,332,3.49
2022-07-19 13:01:45,-58.2013130,-1.2517906,0.769,1.228,7.300,338,333,3.48
2022-07-19 13:23:35,-58.1999245,-1.2443460,0.690,1.107,7.200,286,299,3.48
2022-07-19 13:45:26,-58.1986351,-1.2364959,0.796,1.394,7.800,315,322,3.49
2022-07-19 14:07:17,-58.1969872,-1.2271253,0.700,0.992,7.600,330,330,3.50
2022-07-19 14:29:08,-58.1956558,-1.2187858,0.771,1.168,8.100,319,321,3.50
2022-07-19 14:50:58,-58.1942062,-1.2077217,0.663,1.070,7.700,335,330,3.50
2022-07-19 15:12:49,-58.1931953,-1.1978108,0.744,1.022,7.600,297,305,3.51
2022-07-19 15:34:40,-58.1921234,-1.1878216,0.659,1.014,7.900,332,328,3.52
2022-07-19 15:56:30,-58.1905022,-1.1753876,0.746,1.078,8.200,327,328,3.51
2022-07-19 16:18:21,-58.1890259,-1.1652566,0.686,1.143,7.600,318,312,3.52
2022-07-19 16:40:12,-58.1870766,-1.1544049,0.684,1.008,7.900,328,331,3.50
2022-07-19 17:02:03,-58.1844025,-1.1410407,0.587,0.901,8.500,328,326,3.48
2022-07-19 17:23:53,-58.1822853,-1.1303618,0.600,0.990,7.900,303,300,3.50
2022-07-19 17:45:44,-58.1790352,-1.1178215,0.593,0.834,8.100,314,311,3.51
2022-07-19 18:07:35,-58.1766090,-1.1084083,0.730,1.145,8.200,307,315,3.51
2022-07-19 18:29:25,-58.1740036,-1.0996723,0.581,0.946,8.300,308,308,3.51
2022-07-19 18:51:16,-58.1709900,-1.0889440,0.516,0.753,8.300,297,297,3.52
2022-07-19 19:13:07,-58.1687546,-1.0800488,0.621,1.081,8.300,305,309,3.52
2022-07-19 19:34:58,-58.1666870,-1.0708028,0.621,0.946,8.600,298,300,3.50
2022-07-19 19:56:48,-58.1639671,-1.0593882,0.610,1.108,8.400,322,313,3.51
2022-07-19 20:18:39,-58.1618958,-1.0507267,0.601,0.820,8.400,332,332,3.52
2022-07-19 20:40:30,-58.1600647,-1.0421495,0.622,0.999,8.100,322,329,3.51
2022-07-19 21:02:21,-58.1574287,-1.0314653,0.652,1.023,7.900,319,323,3.52
2022-07-19 21:24:11,-58.1555634,-1.0235209,0.668,1.020,8.000,298,297,3.52
2022-07-19 21:46:02,-58.1532364,-1.0142373,0.632,1.128,8.200,299,296,3.52
2022-07-19 22:07:53,-58.1512375,-1.0071235,0.642,0.938,8.000,296,293,3.51
2022-07-19 22:29:43,-58.1492996,-1.0006399,0.536,0.927,8.100,307,303,3.52
2022-07-19 22:51:34,-58.1466560,-0.9935337,0.509,0.752,8.000,299,300,3.52
